posc_code,posc_type,posc_name,erm_type,erm_name
Unknown,Unknown,Unknown,Spherical,GEODETIC
1024,Pseudo-Mercator,WGS 84 / Pseudo-Mercator,Pseudo-Mercator,Pseudo-Mercator
10101,Transverse Mercator,Alabama CS27 East zone,TransverseMercator,ALABAMA_CS27_EAST_ZONE
10102,Transverse Mercator,Alabama CS27 West zone,TransverseMercator,ALABAMA_CS27_WEST_ZONE
10131,Transverse Mercator,Alabama CS83 East zone,TransverseMercator,ALABAMA_CS83_EAST_ZONE
10132,Transverse Mercator,Alabama CS83 West zone,TransverseMercator,ALABAMA_CS83_WEST_ZONE
15002,Transverse Mercator,Alaska CS27 zone 2,TransverseMercator,ALASKA_CS27_ZONE_2
15003,Transverse Mercator,Alaska CS27 zone 3,TransverseMercator,ALASKA_CS27_ZONE_3
15004,Transverse Mercator,Alaska CS27 zone 4,TransverseMercator,ALASKA_CS27_ZONE_4
15005,Transverse Mercator,Alaska CS27 zone 5,TransverseMercator,ALASKA_CS27_ZONE_5
15006,Transverse Mercator,Alaska CS27 zone 6,TransverseMercator,ALASKA_CS27_ZONE_6
15007,Transverse Mercator,Alaska CS27 zone 7,TransverseMercator,ALASKA_CS27_ZONE_7
15008,Transverse Mercator,Alaska CS27 zone 8,TransverseMercator,ALASKA_CS27_ZONE_8
15009,Transverse Mercator,Alaska CS27 zone 9,TransverseMercator,ALASKA_CS27_ZONE_9
15032,Transverse Mercator,Alaska CS83 zone 2,TransverseMercator,ALASKA_CS83_ZONE_2
15033,Transverse Mercator,Alaska CS83 zone 3,TransverseMercator,ALASKA_CS83_ZONE_3
15034,Transverse Mercator,Alaska CS83 zone 4,TransverseMercator,ALASKA_CS83_ZONE_4
15035,Transverse Mercator,Alaska CS83 zone 5,TransverseMercator,ALASKA_CS83_ZONE_5
15036,Transverse Mercator,Alaska CS83 zone 6,TransverseMercator,ALASKA_CS83_ZONE_6
15037,Transverse Mercator,Alaska CS83 zone 7,TransverseMercator,ALASKA_CS83_ZONE_7
15038,Transverse Mercator,Alaska CS83 zone 8,TransverseMercator,ALASKA_CS83_ZONE_8
15039,Transverse Mercator,Alaska CS83 zone 9,TransverseMercator,ALASKA_CS83_ZONE_9
18031,Transverse Mercator,Argentina zone 1,TransverseMercator,ARGENTINA_ZONE_1
18032,Transverse Mercator,Argentina zone 2,TransverseMercator,ARGENTINA_ZONE_2
18033,Transverse Mercator,Argentina zone 3,TransverseMercator,ARGENTINA_ZONE_3
