posc_code,posc_name,erm_name,prj
4143,Abidjan 1987,ABIDJAN_1987/GEODETIC,GCS_Abidjan_1987
2043,Abidjan 1987 / UTM zone 29N,ABIDJAN_1987/UTM_ZONE_29N,Abidjan_1987_UTM_Zone_29N
2041,Abidjan 1987 / UTM zone 30N,ABIDJAN_1987/UTM_ZONE_30N,Abidjan_1987_UTM_Zone_30N
2165,Abidjan 1987 / TM 5 NW,ABIDJAN_1987/TM_5_NW,Abidjan_1987_TM_5_NW
4201,Adindan,ADINDAN/GEODETIC,GCS_Adindan
20137,Adindan / UTM zone 37N,ADINDAN/NUTM37,Adindan_UTM_Zone_37N
20138,Adindan / UTM zone 38N,ADINDAN/NUTM38,Adindan_UTM_Zone_38N
4205,Afgooye,AFGOOYE/GEODETIC,GCS_Afgooye
20538,Afgooye / UTM zone 38N,AFGOOYE/UTM_ZONE_38N,Afgooye_UTM_Zone_38N
20539,Afgooye / UTM zone 39N,AFGOOYE/UTM_ZONE_39N,Afgooye_UTM_Zone_39N
4206,Agadez,AGADEZ/GEODETIC,GCS_Agadez
4202,AGD66,AGD66/GEODETIC,GCS_Australian_1966
20248,AGD66 / AMG zone 48,AGD66/TMAMG48,AGD_1966_AMG_Zone_48
20249,AGD66 / AMG zone 49,AGD66/TMAMG49,AGD_1966_AMG_Zone_49
20250,AGD66 / AMG zone 50,AGD66/TMAMG50,AGD_1966_AMG_Zone_50
20251,AGD66 / AMG zone 51,AGD66/TMAMG51,AGD_1966_AMG_Zone_51
20252,AGD66 / AMG zone 52,AGD66/TMAMG52,AGD_1966_AMG_Zone_52
20253,AGD66 / AMG zone 53,AGD66/TMAMG53,AGD_1966_AMG_Zone_53
20254,AGD66 / AMG zone 54,AGD66/TMAMG54,AGD_1966_AMG_Zone_54
20255,AGD66 / AMG zone 55,AGD66/TMAMG55,AGD_1966_AMG_Zone_55
20256,AGD66 / AMG zone 56,AGD66/TMAMG56,AGD_1966_AMG_Zone_56
20257,AGD66 / AMG zone 57,AGD66/TMAMG57,AGD_1966_AMG_Zone_57
20258,AGD66 / AMG zone 58,AGD66/TMAMG58,AGD_1966_AMG_Zone_58
4203,AGD84,AGD84/GEODETIC,GCS_Australian_1984
20348,AGD84 / AMG zone 48,AGD84/TMAMG48,AGD_1984_AMG_Zone_48
20349,AGD84 / AMG zone 49,AGD84/TMAMG49,AGD_1984_AMG_Zone_49
20350,AGD84 / AMG zone 50,AGD84/TMAMG50,AGD_1984_AMG_Zone_50
20351,AGD84 / AMG zone 51,AGD84/TMAMG51,AGD_1984_AMG_Zone_51
20352,AGD84 / AMG zone 52,AGD84/TMAMG52,AGD_1984_AMG_Zone_52
20353,AGD84 / AMG zone 53,AGD84/TMAMG53,AGD_1984_AMG_Zone_53
20354,AGD84 / AMG zone 54,AGD84/TMAMG54,AGD_1984_AMG_Zone_54
20355,AGD84 / AMG zone 55,AGD84/TMAMG55,AGD_1984_AMG_Zone_55
20356,AGD84 / AMG zone 56,AGD84/TMAMG56,AGD_1984_AMG_Zone_56
20357,AGD84 / AMG zone 57,AGD84/TMAMG57,AGD_1984_AMG_Zone_57
20358,AGD84 / AMG zone 58,AGD84/TMAMG58,AGD_1984_AMG_Zone_58
4204,Ain el Abd,AINEL_ABD/GEODETIC,GCS_Ain_el_Abd_1970
20499,Ain el Abd / Bahrain Grid,AINEL_ABD/BAHRAIN_STATE_GRID,Bahrain_State_Grid
20437,Ain el Abd / UTM zone 37N,AINABD70/NUTM37,Ain_el_Abd_UTM_Zone_37N
20438,Ain el Abd / UTM zone 38N,AINABD70/NUTM38,Ain_el_Abd_UTM_Zone_38N
20439,Ain el Abd / UTM zone 39N,AINABD70/NUTM39,Ain_el_Abd_UTM_Zone_39N
4289,Amersfoort,AMERSFOORT/GEODETIC,GCS_Amersfoort
4600,Anguilla 1957,ANGUILLA_1957/GEODETIC,GCS_Anguilla_1957
2000,Anguilla 1957 / British West Indies Grid,ANGUILLA_1957/BRITISH_WEST_INDIES_GRID,Anguilla_1957_British_West_Indies_Grid
4601,Antigua 1943,ANTIGUA_1943/GEODETIC,GCS_Antigua_1943
2001,Antigua 1943 / British West Indies Grid,ANTIGUA_1943/BRITISH_WEST_INDIES_GRID,Antigua_1943_British_West_Indies_Grid
4208,Aratu,ARATU/GEODETIC,GCS_Aratu
20822,Aratu / UTM zone 22S,ARATU/SUTM22,Aratu_UTM_Zone_22S
20823,Aratu / UTM zone 23S,ARATU/SUTM23,Aratu_UTM_Zone_23S
20824,Aratu / UTM zone 24S,ARATU/SUTM24,Aratu_UTM_Zone_24S
4209,Arc 1950,ARC1950/GEODETIC,GCS_Arc_1950
20934,Arc 1950 / UTM zone 34S,ARC1950/UTM_ZONE_34S,Arc_1950_UTM_Zone_34S
20935,Arc 1950 / UTM zone 35S,ARC1950/UTM_ZONE_35S,Arc_1950_UTM_Zone_35S
20936,Arc 1950 / UTM zone 36S,ARC1950/UTM_ZONE_36S,Arc_1950_UTM_Zone_36S
4210,Arc 1960,ARC1960/GEODETIC,GCS_Arc_1960
21095,Arc 1960 / UTM zone 35N,ARC1960/UTM_ZONE_35N,Arc_1960_UTM_Zone_35N
21035,Arc 1960 / UTM zone 35S,ARC1960/UTM_ZONE_35S,Arc_1960_UTM_Zone_35S
21096,Arc 1960 / UTM zone 36N,ARC1960/UTM_ZONE_36N,Arc_1960_UTM_Zone_36N
21036,Arc 1960 / UTM zone 36S,ARC1960/UTM_ZONE_36S,Arc_1960_UTM_Zone_36S
21097,Arc 1960 / UTM zone 37N,ARC1960/UTM_ZONE_37N,Arc_1960_UTM_Zone_37N
21037,Arc 1960 / UTM zone 37S,ARC1960/UTM_ZONE_37S,Arc_1960_UTM_Zone_37S
4901,ATF (Paris),ATFPARIS/GEODETIC,GCS_ATF_Paris
4122,ATS77,ATS77/GEODETIC,GCS_ATS_1977
2294,ATS77 / MTM Nova Scotia zone 4,ATS77/MTM_NOVA_SCOTIA_ZONE_4,ATS_1977_MTM_4_Nova_Scotia
2295,ATS77 / MTM Nova Scotia zone 5,ATS77/MTM_NOVA_SCOTIA_ZONE_5,ATS_1977_MTM_5_Nova_Scotia
2219,ATS77 / UTM zone 19N,ATS77/UTM_ZONE_19N,ATS_1977_UTM_Zone_19N
2220,ATS77 / UTM zone 20N,ATS77/UTM_ZONE_20N,ATS_1977_UTM_Zone_20N
4212,Barbados 1938,BARBADOS_1938/GEODETIC,GCS_Barbados_1938
21292,Barbados 1938 / Barbados National Grid,BARBADOS_1938/BARBADOS_NATIONAL_GRID,Barbados_1938_Barbados_Grid
21291,Barbados 1938 / British West Indies Grid,BARBADOS_1938/BRITISH_WEST_INDIES_GRID,Barbados_1938_British_West_Indies_Grid
4211,Batavia,BATAVIA/GEODETIC,GCS_Batavia
4813,Batavia (Jakarta),BATAVIA_JAKARTA/GEODETIC,GCS_Batavia_Jakarta
21100,Batavia (Jakarta) / NEIEZ,BATAVIA_JAKARTA/NETHERLANDS_EAST_INDIES_EQUATORIAL_ZONE,Unknown
21148,Batavia / UTM zone 48S,BATAVIA/SUTM48,Batavia_UTM_Zone_48S
21149,Batavia / UTM zone 49S,BATAVIA/SUTM49,Batavia_UTM_Zone_49S
21150,Batavia / UTM zone 50S,BATAVIA/SUTM50,Batavia_UTM_Zone_50S
4213,Beduaram,BEDUARAM/GEODETIC,GCS_Beduaram
4214,Beijing 1954,BEIJING_1954/GEODETIC,GCS_Beijing_1954
21473,Beijing 1954 / Gauss-Kruger 13N,BEIJING_1954/GAUSS_KRUGER_13N,Beijing_1954_GK_Zone_13N
21474,Beijing 1954 / Gauss-Kruger 14N,BEIJING_1954/GAUSS_KRUGER_14N,Beijing_1954_GK_Zone_14N
21475,Beijing 1954 / Gauss-Kruger 15N,BEIJING_1954/GAUSS_KRUGER_15N,Beijing_1954_GK_Zone_15N
21476,Beijing 1954 / Gauss-Kruger 16N,BEIJING_1954/GAUSS_KRUGER_16N,Beijing_1954_GK_Zone_16N
21477,Beijing 1954 / Gauss-Kruger 17N,BEIJING_1954/GAUSS_KRUGER_17N,Beijing_1954_GK_Zone_17N
21478,Beijing 1954 / Gauss-Kruger 18N,BEIJING_1954/GAUSS_KRUGER_18N,Beijing_1954_GK_Zone_18N
21479,Beijing 1954 / Gauss-Kruger 19N,BEIJING_1954/GAUSS_KRUGER_19N,Beijing_1954_GK_Zone_19N
21480,Beijing 1954 / Gauss-Kruger 20N,BEIJING_1954/GAUSS_KRUGER_20N,Beijing_1954_GK_Zone_20N
21481,Beijing 1954 / Gauss-Kruger 21N,BEIJING_1954/GAUSS_KRUGER_21N,Beijing_1954_GK_Zone_21N
21482,Beijing 1954 / Gauss-Kruger 22N,BEIJING_1954/GAUSS_KRUGER_22N,Beijing_1954_GK_Zone_22N
21483,Beijing 1954 / Gauss-Kruger 23N,BEIJING_1954/GAUSS_KRUGER_23N,Beijing_1954_GK_Zone_23N
21413,Beijing 1954 / Gauss-Kruger zone 13,BEIJING_1954/GAUSS_KRUGER_ZONE_13,Beijing_1954_GK_Zone_13
