posc_code,posc_name,erm_name,prj
4202,AGD66,AGD66/GEODETIC,GCS_Australian_1966
20248,AGD66 / AMG zone 48,AGD66/TMAMG48,AGD_1966_AMG_Zone_48
20249,AGD66 / AMG zone 49,AGD66/TMAMG49,AGD_1966_AMG_Zone_49
20250,AGD66 / AMG zone 50,AGD66/TMAMG50,AGD_1966_AMG_Zone_50
20251,AGD66 / AMG zone 51,AGD66/TMAMG51,AGD_1966_AMG_Zone_51
20252,AGD66 / AMG zone 52,AGD66/TMAMG52,AGD_1966_AMG_Zone_52
20253,AGD66 / AMG zone 53,AGD66/TMAMG53,AGD_1966_AMG_Zone_53
20254,AGD66 / AMG zone 54,AGD66/TMAMG54,AGD_1966_AMG_Zone_54
20255,AGD66 / AMG zone 55,AGD66/TMAMG55,AGD_1966_AMG_Zone_55
20256,AGD66 / AMG zone 56,AGD66/TMAMG56,AGD_1966_AMG_Zone_56
20257,AGD66 / AMG zone 57,AGD66/TMAMG57,AGD_1966_AMG_Zone_57
20258,AGD66 / AMG zone 58,AGD66/TMAMG58,AGD_1966_AMG_Zone_58
4203,AGD84,AGD84/GEODETIC,GCS_Australian_1984
20348,AGD84 / AMG zone 48,AGD84/TMAMG48,AGD_1984_AMG_Zone_48
20349,AGD84 / AMG zone 49,AGD84/TMAMG49,AGD_1984_AMG_Zone_49
20350,AGD84 / AMG zone 50,AGD84/TMAMG50,AGD_1984_AMG_Zone_50
20351,AGD84 / AMG zone 51,AGD84/TMAMG51,AGD_1984_AMG_Zone_51
20352,AGD84 / AMG zone 52,AGD84/TMAMG52,AGD_1984_AMG_Zone_52
20353,AGD84 / AMG zone 53,AGD84/TMAMG53,AGD_1984_AMG_Zone_53
20354,AGD84 / AMG zone 54,AGD84/TMAMG54,AGD_1984_AMG_Zone_54
20355,AGD84 / AMG zone 55,AGD84/TMAMG55,AGD_1984_AMG_Zone_55
20356,AGD84 / AMG zone 56,AGD84/TMAMG56,AGD_1984_AMG_Zone_56
20357,AGD84 / AMG zone 57,AGD84/TMAMG57,AGD_1984_AMG_Zone_57
20358,AGD84 / AMG zone 58,AGD84/TMAMG58,AGD_1984_AMG_Zone_58
4272,GD49,GD49/GEODETIC,GCS_New_Zealand_1949
27291,GD49 / North Island Grid,GD49/NEW_ZEALAND_NORTH_ISLAND_NATIONAL_GRID,New_Zealand_North_Island
27292,GD49 / South Island Grid,GD49/NEW_ZEALAND_SOUTH_ISLAND_NATIONAL_GRID,New_Zealand_South_Island
4283,GDA94,GDA94/GEODETIC,GCS_GDA_1994
3577,GDA94/ALAUSTRALIA,GDA94/ALAUSTRALIA,Unknown
3112,GDA94/ Geoscience Australia Lambert,GDA94/LAM_AUST2,GDA_1994_Geoscience_Australia_Lambert
3112,GDA94/ Geoscience Australia Lambert,GDA94/GALCC,GDA_1994_Geoscience_Australia_Lambert
3107,GDA94 / LAM_SAUST,GDA94/LAM_SAUST,Unknown
28348,GDA94 / MGA zone 48,GDA94/MGA48,GDA_1994_MGA_Zone_48
28349,GDA94 / MGA zone 49,GDA94/MGA49,GDA_1994_MGA_Zone_49
28350,GDA94 / MGA zone 50,GDA94/MGA50,GDA_1994_MGA_Zone_50
28351,GDA94 / MGA zone 51,GDA94/MGA51,GDA_1994_MGA_Zone_51
28352,GDA94 / MGA zone 52,GDA94/MGA52,GDA_1994_MGA_Zone_52
28353,GDA94 / MGA zone 53,GDA94/MGA53,GDA_1994_MGA_Zone_53
28354,GDA94 / MGA zone 54,GDA94/MGA54,GDA_1994_MGA_Zone_54
28355,GDA94 / MGA zone 55,GDA94/MGA55,GDA_1994_MGA_Zone_55
28356,GDA94 / MGA zone 56,GDA94/MGA56,GDA_1994_MGA_Zone_56
28357,GDA94 / MGA zone 57,GDA94/MGA57,GDA_1994_MGA_Zone_57
28358,GDA94 / MGA zone 58,GDA94/MGA58,GDA_1994_MGA_Zone_58
28348,GDA94 / MGA zone 48,GDA94/UTM_ZONE_48S,GDA_1994_MGA_Zone_48
28349,GDA94 / MGA zone 49,GDA94/UTM_ZONE_49S,GDA_1994_MGA_Zone_49
28350,GDA94 / MGA zone 50,GDA94/UTM_ZONE_50S,GDA_1994_MGA_Zone_50
28351,GDA94 / MGA zone 51,GDA94/UTM_ZONE_51S,GDA_1994_MGA_Zone_51
28352,GDA94 / MGA zone 52,GDA94/UTM_ZONE_52S,GDA_1994_MGA_Zone_52
28353,GDA94 / MGA zone 53,GDA94/UTM_ZONE_53S,GDA_1994_MGA_Zone_53
28354,GDA94 / MGA zone 54,GDA94/UTM_ZONE_54S,GDA_1994_MGA_Zone_54
28355,GDA94 / MGA zone 55,GDA94/UTM_ZONE_55S,GDA_1994_MGA_Zone_55
28356,GDA94 / MGA zone 56,GDA94/UTM_ZONE_56S,GDA_1994_MGA_Zone_56
28357,GDA94 / MGA zone 57,GDA94/UTM_ZONE_57S,GDA_1994_MGA_Zone_57
28358,GDA94 / MGA zone 58,GDA94/UTM_ZONE_58S,GDA_1994_MGA_Zone_58
28348,GDA94 / MGA zone 48,GDA94/MGA48,GDA_1994_MGA_Zone_48
28349,GDA94 / MGA zone 49,GDA94/MGA49,GDA_1994_MGA_Zone_49
28350,GDA94 / MGA zone 50,GDA94/MGA50,GDA_1994_MGA_Zone_50
28351,GDA94 / MGA zone 51,GDA94/MGA51,GDA_1994_MGA_Zone_51
28352,GDA94 / MGA zone 52,GDA94/MGA52,GDA_1994_MGA_Zone_52
28353,GDA94 / MGA zone 53,GDA94/MGA53,GDA_1994_MGA_Zone_53
28354,GDA94 / MGA zone 54,GDA94/MGA54,GDA_1994_MGA_Zone_54
28355,GDA94 / MGA zone 55,GDA94/MGA55,GDA_1994_MGA_Zone_55
28356,GDA94 / MGA zone 56,GDA94/MGA56,GDA_1994_MGA_Zone_56
28357,GDA94 / MGA zone 57,GDA94/MGA57,GDA_1994_MGA_Zone_57
28358,GDA94 / MGA zone 58,GDA94/MGA58,GDA_1994_MGA_Zone_58
6736,GDA94 / MGA zone 46,GDA94/MGA48,GDA94_MGA_zone_46
6737,GDA94 / MGA zone 47,GDA94/MGA48,GDA94_MGA_zone_47
28348,GDA94 / MGA zone 48,GDA94/MGA48,GDA94_MGA_zone_48
