posc_code,posc_name,erm_name,mapinfo,prj
6143,Abidjan 1987,ABIDJAN_1987,0,Unknown
Unknown,Unknown,ACCRA,0,Unknown
6201,Adindan,ADINDAN,1,Unknown
6205,Afgooye,AFGOOYE,2,Unknown
6206,Agadez,AGADEZ,0,Unknown
Unknown,Unknown,AINABD70,0,Unknown
6204,Ain el Abd 1970,AINEL_ABD,3,Unknown
6289,Amersfoort,AMERSFOORT,0,Unknown
6901,Ancienne Triangulation Francaise (Paris),ATFPARIS,0,Unknown
6600,Anguilla 1957,ANGUILLA_1957,0,Unknown
6601,Antigua 1943,ANTIGUA_1943,0,Unknown
6208,Aratu,ARATU,0,Unknown
6209,Arc 1950,ARC1950,5,Unknown
6210,Arc 1960,ARC1960,6,Unknown
Unknown,Unknown,ARCDRC,0,Unknown
6202,Australian Geodetic Datum 1966,AGD66,12,D_Australian_1966
6203,Australian Geodetic Datum 1984,AGD84,13,D_Australian_1984
6122,Average Terrestrial System 1977,ATS77,0,Unknown
Unknown,Unknown,BAHRAIN,0,Unknown
6212,Barbados 1938,BARBADOS_1938,0,Unknown
6211,Batavia,BATAVIA,25,Unknown
6813,Batavia (Jakarta),BATAVIA_JAKARTA,25,Unknown
6213,Beduaram,BEDUARAM,0,Unknown
Unknown,Unknown,BEIJING,0,Unknown
6214,Beijing 1954,BEIJING_1954,0,Unknown
Unknown,Unknown,BELG50,0,Unknown
6216,Bermuda 1957,BERMUDA_1957,15,Unknown
6306,Bern 1938,BERN_1938,0,Unknown
Unknown,Unknown,BERNNEW,0,Unknown
6165,Bissau,BISSAU,0,Unknown
6218,Bogota,BOGOTA,16,Unknown
6802,Bogota (Bogota),BOGOTA_BOGOTA,16,Unknown
6686,MAGNA,MAGNA,0,D_MAGNA
6219,Bukit Rimpah,BUKIT_RIMPAH,0,Unknown
6220,Camacupa,CAMACUPA,0,Unknown
6221,Campo Inchauspe,CAMPO_INCHAUSPE,17,Unknown
6222,Cape,CAPE,19,Unknown
6223,Carthage,CARTHAGE,21,Unknown
6816,Carthage (Paris),CARTHAGE_PARIS,21,Unknown
6150,CH1903+,CH1903,0,Unknown
6801,CH1903 (Bern),CH1903_BERN,0,Unknown
6160,Chos Malal 1914,CHOS_MALAL_1914,0,Unknown
6224,Chua,CHUA,23,Unknown
Unknown,Unknown,CLRK1866,0,Unknown
Unknown,Unknown,CLARKE1880,0,Unknown
Unknown,Unknown,CMPOINCH,0,Unknown
6315,Conakry 1905,CONAKRY_1905,0,Unknown
Unknown,Unknown,CORRALEG,24,Unknown
6225,Corrego Alegre,CORREGO_ALEGRE,24,Unknown
6226,Cote d'Ivoire,COTE_D_IVOIRE,0,Unknown
6155,Dabola 1981,DABOLA_1981,0,Unknown
6274,Datum 73,DATUM_73,0,Unknown
6316,Dealul Piscului 1933,DEALUL_PISCULUI_1933,0,Unknown
6317,Dealul Piscului 1970,DEALUL_PISCULUI_1970,0,Unknown
Unknown,Unknown,DEIR,0,Unknown
6227,Deir ez Zor,DEIR_EZ_ZOR,0,Unknown
6314,Deutsche Hauptdreiecksnetz,DHDN,0,Unknown
6602,Dominica 1945,DOMINICA_1945,0,Unknown
6228,Douala,DOUALA,0,Unknown
Unknown,Unknown,ED50EGYT,28,Unknown
Unknown,Unknown,ED50SVAL,0,Unknown
Unknown,Unknown,EDMCE75,0,Unknown
Unknown,Unknown,EGYPT07,76,Unknown
Unknown,Unknown,EGYPT24,76,Unknown
6229,Egypt 1907,EGYPT_1907,76,Unknown
6133,Estonia 1992,EST92,0,Unknown
Unknown,Unknown,ETRF89,0,Unknown
6230,European Datum 1950,ED50,28,Unknown
6154,European Datum 1950(1977),ED50_ED77,28,Unknown
6231,European Datum 1987,ED87,108,Unknown
6159,European Libyan Datum 1979,ELD79,0,Unknown
1178,ETRF89,EUROPEAN_TERRESTRIAL_REFERENCE_FRAME_89,0,D_ETRF_1989
1178,European Terrestrial Reference Frame 89,EUROPEAN_TERRESTRIAL_REFERENCE_FRAME_89,0,D_ETRF_1989
6761,HTRS96,HTRS96,HTRS96,GCS_HTRS69
Unknown,Unknown,EVVIETNM,0,Unknown
6232,Fahud,FAHUD,0,Unknown
6132,Final Datum 1958,FD58,0,Unknown
6123,Kartastokoordinaattijarjestelma (1966),FINKKJ,24,DD_KKJ
6258,ETRS89,ETRS89,0,D_ETRS_1989
6258,European Terrestrial Reference System 1989,EUREF-FIN,0,D_ETRS_1989
Unknown,Unknown,FISCHER1960,0,Unknown
Unknown,Unknown,FISCHER1968,0,Unknown
Unknown,Unknown,FISCHER60SA,0,Unknown
6233,Gandajika 1970,GANDAJIKA_1970,30,Unknown
6234,Garoua,GAROUA,0,Unknown
Unknown,Unknown,GEM6,0,Unknown
1076,Papua New Guinea Geodetic Datum 1994,PNG94,0,D_PNG94
#For MAPINFO 5.5 GDA94 is treated as WGS84(104).  Use 116 with next version of MAPINFO,,,,Unknown
#6283,Geocentric Datum of Australia 1994,GDA94,116,Unknown
6283,Geocentric Datum of Australia 1994,GDA94,104,D_GDA_1994
1168,Geocentric Datum of Australia 2020,GDA2020,159,Unknown
6120,Greek,GREEK,0,Unknown
6815,Greek (Athens),GREEK_ATHENS,0,Unknown
6121,Greek Geodetic Reference System 1987,GGRS87,0,Unknown
6603,Grenada 1953,GRENADA_1953,0,Unknown
6235,Guyane Francaise,GUYANE_FRANCAISE,0,Unknown
6147,Hanoi 1972,HANOI_1972,0,Unknown
6148,Hartebeesthoek94,HARTEBEESTHOEK94,0,Unknown
6237,Hungarian Datum 1972,HD72,0,Unknown
6255,Herat North,HERAT_NORTH,0,Unknown
6254,Hito XVIII 1963,HITO_XVIII_1963,36,Unknown
Unknown,Unknown,HOUGH,0,Unknown
6236,Hu Tzu Shan,HU_TZU_SHAN,39,Unknown
6238,Indonesian Datum 1974,ID74,0,Unknown
Unknown,Unknown,IND74,0,Unknown
Unknown,Unknown,INDIAN54,41,Unknown
Unknown,Unknown,INDIAN60,41,Unknown
Unknown,Unknown,INDIAN75,41,Unknown
6239,Indian 1954,INDIAN_1954,41,Unknown
6131,Indian 1960,INDIAN_1960,41,Unknown
6240,Indian 1975,INDIAN_1975,41,Unknown
6173,IRENET95,ETRS89,115,D_IRENET95
6141,Israel,ISRAEL,0,Unknown
Unknown,Unknown,ISRLURIM,0,Unknown
Unknown,Unknown,JA1875,0,Unknown
6242,Jamaica 1969,JAD69,0,Unknown
6241,Jamaica 1875,JAMAICA_1875,0,Unknown
6156,Jednote Trigonometricke Siti Kataastrali,S_JTSK,0,Unknown
Unknown,Unknown,KALIANPR,0,Unknown
6243,Kalianpur 1880,KALIANPUR_1880,0,Unknown
6144,Kalianpur 1937,KALIANPUR_1937,0,Unknown
6145,Kalianpur 1962,KALIANPUR_1962,0,Unknown
6146,Kalianpur 1975,KALIANPUR_1975,0,Unknown
6244,Kandawala,KANDAWALA,0,Unknown
Unknown,Unknown,KARBALA,0,Unknown
6123,Kartastokoordinaattijarjestelma,KKJ,24,Unknown
6245,Kertau,KERTAU,47,Unknown
6162,Korean Datum 1985,KOREAN_DATUM_1985,0,Unknown
6166,Korean Datum 1995,KOREAN_DATUM_1995,0,Unknown
6246,Kuwait Oil Company,KOC,0,Unknown
6319,Kuwait Utility,KUDAMS,0,Unknown
6247,La Canoa,LA_CANOA,0,Unknown
Unknown,Unknown,LACANOA,0,Unknown
6249,Lake,LAKE,0,Unknown
6250,Leigon,LEIGON,0,Unknown
6251,Liberia 1964,LIBERIA_1964,49,Unknown
Unknown,Unknown,LISBOA,113,Unknown
6207,Lisbon,LISBON,113,Unknown
6803,Lisbon (Lisbon),LISBON_LISBON,113,Unknown
6126,Lithuania 1994 (ETRS89),LKS94_ETRS89,0,Unknown
6142,Locodjo 1965,LOCODJO_1965,0,Unknown
6288,Loma Quintana,LOMA_QUINTANA,0,Unknown
6252,Lome,LOME,0,Unknown
Unknown,Unknown,LUZON11,0,Unknown
6253,Luzon 1911,LUZON_1911,0,Unknown
6903,Madrid 1870 (Madrid),MADRID_1870_MADRID,0,Unknown
6128,Madzansua,MADZANSUA,0,Unknown
Unknown,Unknown,MAHE71,0,Unknown
6256,Mahe 1971,MAHE_1971,52,Unknown
6257,Makassar,MAKASSAR,0,Unknown
6804,Makassar (Jakarta),MAKASSAR_JAKARTA,0,Unknown
Unknown,Unknown,MALONG79,0,Unknown
Unknown,Unknown,MALONG90,0,Unknown
6259,Malongo 1987,MALONGO_1987,0,Unknown
6260,Manoca,MANOCA,0,Unknown
Unknown,Unknown,MANOKA,0,Unknown
6262,Massawa,MASSAWA,54,Unknown
6261,Merchich,MERCHICH,55,D_Merchich
6264,Mhast,MHAST,0,Unknown
6312,Militar-Geographische Institut,MGI,0,Unknown
6805,Militar-Geographische Institut (Ferro),MILITAR_GEOGRAPHISCHE_INSTITUT_FERRO,0,Unknown
Unknown,Unknown,MINAA,57,Unknown
6263,Minna,MINNA,57,Unknown
Unknown,Unknown,MONTEMAR,0,Unknown
6265,Monte Mario,MONTE_MARIO,0,Unknown
6806,Monte Mario (Rome),MONTE_MARIO_ROME,0,Unknown
Unknown,Unknown,MONTROME,0,Unknown
6604,Montserrat 1958,MONTSERRAT_1958,0,Unknown
6157,Mount Dillon,MOUNT_DILLON,0,Unknown
6130,Moznet (ITRF94),MOZNET,0,Unknown
Unknown,Unknown,MPORO,0,Unknown
6266,M'poraloko,M_PORALOKO,0,Unknown
Unknown,Unknown,NAD27_NAS-A,0,Unknown
Unknown,Unknown,NAD27_NAS-B,0,Unknown
Unknown,Unknown,NAD27_NAS-E,0,Unknown
Unknown,Unknown,NAD27_NAS-F,0,Unknown
Unknown,Unknown,NAD27_NAS-G,0,Unknown
Unknown,Unknown,NAD27_NAS-H,0,Unknown
Unknown,Unknown,NAD27_NAS-I,0,Unknown
Unknown,Unknown,NAD27_NAS-J,0,Unknown
Unknown,Unknown,NAD27_NAS-N,0,Unknown
Unknown,Unknown,NAD27MOD,62,Unknown
Unknown,Unknown,NAD27MTR,62,Unknown
Unknown,Unknown,NAD83,74,Unknown
6140,NAD83 Canadian Spatial Reference System,NAD83_CSRS98,74,Unknown
6152,NAD83 (High Accuracy Regional Network),NAD83_HARN,74,Unknown
6268,NAD Michigan,NADMICHIGAN,73,Unknown
Unknown,Unknown,NAHRWAN,58,Unknown
