from,to,dx,dy,dz,xrot,yrot,zrot,sdiff
ADINDAN,WGS84,-166,-15,204,0,0,0,0
ADINDAN,WGS84,-118,-14,218,0,0,0,0
ADINDAN,WGS84,-134,-2,210,0,0,0,0
ADINDAN,WGS84,-165,-11,206,0,0,0,0
ADINDAN,WGS84,-123,-20,220,0,0,0,0
ADINDAN,WGS84,-128,-18,224,0,0,0,0
ADINDAN,WGS84,-161,-14,205,0,0,0,0
AFGOOYE,WGS84,-43,-163,45,0,0,0,0
AGD66,WGS84,-133,-48,148,0,0,0,0
AGD84,WGS84,-134,-48,149,0,0,0,0
AINEL_ABD,WGS84,-150,-250,-1,0,0,0,0
AINEL_ABD,WGS84,-143,-236,7,0,0,0,0
AMERSFOORT,WGS84,593.16,26.15,478.54,-6.3239,-0.5008,-5.5487,4.0775
ARC1950,WGS84,-143,-90,-294,0,0,0,0
ARC1950,WGS84,-138,-105,-289,0,0,0,0
ARC1950,WGS84,-153,-5,-292,0,0,0,0
ARC1950,WGS84,-125,-108,-295,0,0,0,0
ARC1950,WGS84,-161,-73,-317,0,0,0,0
ARC1950,WGS84,-134,-105,-295,0,0,0,0
ARC1950,WGS84,-169,-19,-278,0,0,0,0
ARC1950,WGS84,-147,-74,-283,0,0,0,0
ARC1950,WGS84,-142,-96,-293,0,0,0,0
ARC1960,WGS84,-160,-6,-302,0,0,0,0
BATAVIA,WGS84,-377,681,-50,0,0,0,0
BERMUDA_1957,WGS84,-73,213,296,0,0,0,0
BOGOTA,WGS84,307,304,-318,0,0,0,0
BOGOTA,SPHERE_CLARKE1880,307,304,-318,0,0,0,0
BUKIT_RIMPAH,WGS84,-384,664,-48,0,0,0,0
CAMPO_INCHAUSPE,WGS84,-148,136,90,0,0,0,0
CAPE,WGS84,-136,-108,-292,0,0,0,0
CAPE,WGS84,-134.73,-110.92,-292.66,0,0,0,0
CARTHAGE,WGS84,-263,6,431,0,0,0,0
CHUA,WGS84,-134,229,-29,0,0,0,0
CORREGO_ALEGRE,WGS84,-206,172,-6,0,0,0,0
ED50,WGS84,-87,-98,-121,0,0,0,0
ED50,WGS84,-87,-96,-120,0,0,0,0
ED50,WGS84,-103,-106,-141,0,0,0,0
ED50,WGS84,-104,-101,-140,0,0,0,0
ED50,WGS84,-130,-117,-151,0,0,0,0
ED50,WGS84,-86,-96,-120,0,0,0,0
ED50,WGS84,-87,-95,-120,0,0,0,0
ED50,WGS84,-84,-95,-130,0,0,0,0
ED50_ED77,WGS84,-117,-132,-164,0,0,0,0
ED50,WGS84,-97,-103,-120,0,0,0,0
ED50,WGS84,-97,-88,-135,0,0,0,0
ED50,WGS84,-107,-88,-149,0,0,0,0
ED50,WGS84,-84,-107,-120,0,0,0,0
ED87,WGS84,-82.981,-99.719,-110.709,-0.5076,0.1503,0.3898,-0.3143
ED50,ED87,-1.51,-0.84,-3.5,-1.893,-0.687,-2.764,0.609
EGYPT_1907,WGS84,-130,110,-13,0,0,0,0
EUROPEAN_TERRESTRIAL_REFERENCE_FRAME_89,WGS84,0,0,0,0,0,0,0
FINKKJ,EUREF_FIN,-96.061700,-82.427800,-121.753500,-4.801070,-0.345430,1.376460,1.496400
FINKKJ,WGS84,-96.061700,-82.427800,-121.753500,-4.801070,-0.345430,1.376460,1.496400
EUREF_FIN,ETRS89,0,0,0,0,0,0,0
EUREF_FIN,WGS84,0,0,0,0,0,0,0
GDA94,WGS84,0,0,0,0,0,0,0
GDA94,GDA2020,0.06155,-0.01087,-0.04019,-0.0394924,-0.0327221,-0.0328979,-0.009994
WGS84,GDA2020,0.06155,-0.01087,-0.04019,-0.0394924,-0.0327221,-0.0328979,-0.009994
GD49,WGS84,84,-22,209,0,0,0,0
HU_TZU_SHAN,WGS84,-637,-549,-203,0,0,0,0
INDIAN_1954,WGS84,217,823,299,0,0,0,0
INDIAN_1975,WGS84,209,818,290,0,0,0,0
KALIANPUR_1937,WGS84,282,726,254,0,0,0,0
KALIANPUR_1975,WGS84,295,736,257,0,0,0,0
